,id,Median_HHI,state_code,county_code
5281,0500000US39083,55131,39,83
5282,0500000US39085,63475,39,85
5283,0500000US39087,44372,39,87
5284,0500000US39089,62715,39,89
5285,0500000US39091,55150,39,91
5286,0500000US39093,56965,39,93
5287,0500000US39095,46924,39,95
5288,0500000US39097,65264,39,97
5289,0500000US39099,44682,39,99
5290,0500000US39101,45464,39,101
5291,0500000US39103,74243,39,103
5292,0500000US39105,43591,39,105
5293,0500000US39107,59417,39,107
5294,0500000US39109,57544,39,109
5295,0500000US39111,43956,39,111
5296,0500000US39113,49314,39,113
5297,0500000US39115,41731,39,115
5298,0500000US39117,56010,39,117
5299,0500000US39119,45276,39,119
5300,0500000US39121,47456,39,121
5301,0500000US39123,57918,39,123
5302,0500000US39125,51933,39,125
5303,0500000US39127,48811,39,127
5304,0500000US39129,62214,39,129
5305,0500000US39131,43729,39,131
5306,0500000US39133,56618,39,133
5307,0500000US39135,55374,39,135
5308,0500000US39137,62001,39,137
5309,0500000US39139,47346,39,139
5310,0500000US39141,48403,39,141
5311,0500000US39143,51701,39,143
5312,0500000US39145,39731,39,145
5313,0500000US39147,49936,39,147
5314,0500000US39149,61042,39,149
5315,0500000US39151,52190,39,151
5316,0500000US39153,55448,39,153
5317,0500000US39155,45975,39,155
5318,0500000US39157,51170,39,157
5319,0500000US39159,82775,39,159
5320,0500000US39161,52754,39,161
5321,0500000US39163,42114,39,163
5322,0500000US39165,83330,39,165
5323,0500000US39167,48572,39,167
5324,0500000US39169,56348,39,169
5325,0500000US39171,49491,39,171
5326,0500000US39173,59789,39,173
5327,0500000US39175,52940,39,175
5328,0500000US40001,32986,40,1
5329,0500000US40003,59569,40,3
5330,0500000US40005,38821,40,5
5331,0500000US40007,51996,40,7
5332,0500000US40009,48725,40,9
5333,0500000US40011,50391,40,11
5334,0500000US40013,43245,40,13
5335,0500000US40015,44588,40,15
5336,0500000US40017,71157,40,17
5337,0500000US40019,49216,40,19
5338,0500000US40021,40936,40,21
5339,0500000US40023,32129,40,23
5340,0500000US40025,46071,40,25
5341,0500000US40027,62863,40,27
5342,0500000US40029,40000,40,29
5343,0500000US40031,52227,40,31
5344,0500000US40033,51623,40,33
5345,0500000US40035,41701,40,35
5346,0500000US40037,49578,40,37
5347,0500000US40039,48884,40,39
5348,0500000US40041,39742,40,41
5349,0500000US40043,50037,40,43
5350,0500000US40045,52705,40,45
5351,0500000US40047,51332,40,47
5352,0500000US40049,45066,40,49
5353,0500000US40051,58177,40,51
