,Median_HHI,NAME,state_code,county_code
Value,39879,"Glades County, Florida",12,043
Value,44291,"Gulf County, Florida",12,045
Value,34583,"Hamilton County, Florida",12,047
Value,37594,"Hardee County, Florida",12,049
Value,40728,"Hendry County, Florida",12,051
Value,46030,"Hernando County, Florida",12,053
Value,37314,"Highlands County, Florida",12,055
Value,56137,"Hillsborough County, Florida",12,057
Value,38608,"Holmes County, Florida",12,059
Value,52336,"Indian River County, Florida",12,061
Value,39002,"Jackson County, Florida",12,063
Value,48173,"Jefferson County, Florida",12,065
Value,39543,"Lafayette County, Florida",12,067
Value,51884,"Lake County, Florida",12,069
Value,54691,"Lee County, Florida",12,071
Value,51201,"Leon County, Florida",12,073
Value,37634,"Levy County, Florida",12,075
Value,37363,"Liberty County, Florida",12,077
Value,35509,"Madison County, Florida",12,079
Value,56036,"Manatee County, Florida",12,081
Value,43361,"Marion County, Florida",12,083
Value,57959,"Martin County, Florida",12,085
Value,48982,"Miami-Dade County, Florida",12,086
Value,67023,"Monroe County, Florida",12,087
Value,66297,"Nassau County, Florida",12,089
Value,62048,"Okaloosa County, Florida",12,091
Value,40367,"Okeechobee County, Florida",12,093
Value,54335,"Orange County, Florida",12,095
Value,50063,"Osceola County, Florida",12,097
Value,59943,"Palm Beach County, Florida",12,099
Value,50417,"Pasco County, Florida",12,101
Value,51454,"Pinellas County, Florida",12,103
Value,48500,"Polk County, Florida",12,105
Value,35649,"Putnam County, Florida",12,107
Value,77323,"St. Johns County, Florida",12,109
Value,49373,"St. Lucie County, Florida",12,111
Value,66242,"Santa Rosa County, Florida",12,113
Value,58644,"Sarasota County, Florida",12,115
Value,63760,"Seminole County, Florida",12,117
Value,55228,"Sumter County, Florida",12,119
Value,42686,"Suwannee County, Florida",12,121
Value,36934,"Taylor County, Florida",12,123
Value,41770,"Union County, Florida",12,125
Value,46760,"Volusia County, Florida",12,127
Value,62778,"Wakulla County, Florida",12,129
Value,53785,"Walton County, Florida",12,131
Value,37188,"Washington County, Florida",12,133
Value,39561,"Appling County, Georgia",13,001
Value,34877,"Atkinson County, Georgia",13,003
Value,36964,"Bacon County, Georgia",13,005
Value,37188,"Baker County, Georgia",13,007
Value,39426,"Baldwin County, Georgia",13,009
Value,45373,"Banks County, Georgia",13,011
Value,57348,"Barrow County, Georgia",13,013
Value,55452,"Bartow County, Georgia",13,015
Value,32705,"Ben Hill County, Georgia",13,017
Value,37163,"Berrien County, Georgia",13,019
Value,39931,"Bibb County, Georgia",13,021
Value,45029,"Bleckley County, Georgia",13,023
Value,37031,"Brantley County, Georgia",13,025
Value,34322,"Brooks County, Georgia",13,027
Value,71322,"Bryan County, Georgia",13,029
Value,41789,"Bulloch County, Georgia",13,031
Value,42773,"Burke County, Georgia",13,033
Value,41845,"Butts County, Georgia",13,035
Value,31725,"Calhoun County, Georgia",13,037
Value,56397,"Camden County, Georgia",13,039
Value,32937,"Candler County, Georgia",13,043
Value,49608,"Carroll County, Georgia",13,045
Value,55125,"Catoosa County, Georgia",13,047
Value,40283,"Charlton County, Georgia",13,049
Value,54911,"Chatham County, Georgia",13,051
Value,46453,"Chattahoochee County, Georgia",13,053
Value,36107,"Chattooga County, Georgia",13,055
Value,79670,"Cherokee County, Georgia",13,057
Value,36889,"Clarke County, Georgia",13,059
Value,25000,"Clay County, Georgia",13,061
Value,45778,"Clayton County, Georgia",13,063
Value,25236,"Clinch County, Georgia",13,065
Value,75153,"Cobb County, Georgia",13,067
Value,38266,"Coffee County, Georgia",13,069
Value,35472,"Colquitt County, Georgia",13,071
Value,76938,"Columbia County, Georgia",13,073
Value,38408,"Cook County, Georgia",13,075
Value,70717,"Coweta County, Georgia",13,077
Value,43257,"Crawford County, Georgia",13,079
Value,35096,"Crisp County, Georgia",13,081
Value,44471,"Dade County, Georgia",13,083
Value,65805,"Dawson County, Georgia",13,085
Value,39148,"Decatur County, Georgia",13,087
Value,59280,"DeKalb County, Georgia",13,089
Value,35757,"Dodge County, Georgia",13,091
Value,35629,"Dooly County, Georgia",13,093
Value,37633,"Dougherty County, Georgia",13,095
Value,62147,"Douglas County, Georgia",13,097
Value,31567,"Early County, Georgia",13,099
Value,34447,"Echols County, Georgia",13,101
Value,65153,"Effingham County, Georgia",13,103
Value,37943,"Elbert County, Georgia",13,105
Value,34946,"Emanuel County, Georgia",13,107
Value,39701,"Evans County, Georgia",13,109
Value,45647,"Fannin County, Georgia",13,111
Value,87272,"Fayette County, Georgia",13,113
Value,46367,"Floyd County, Georgia",13,115
Value,101743,"Forsyth County, Georgia",13,117
Value,40198,"Franklin County, Georgia",13,119
Value,64787,"Fulton County, Georgia",13,121
Value,49389,"Gilmer County, Georgia",13,123
Value,41686,"Glascock County, Georgia",13,125
Value,50672,"Glynn County, Georgia",13,127
Value,44313,"Gordon County, Georgia",13,129
Value,42348,"Grady County, Georgia",13,131
Value,49755,"Greene County, Georgia",13,133
Value,67769,"Gwinnett County, Georgia",13,135
Value,49140,"Habersham County, Georgia",13,137
Value,59898,"Hall County, Georgia",13,139
Value,31984,"Hancock County, Georgia",13,141
Value,46353,"Haralson County, Georgia",13,143
Value,74261,"Harris County, Georgia",13,145
Value,41358,"Hart County, Georgia",13,147
Value,48094,"Heard County, Georgia",13,149
Value,68609,"Henry County, Georgia",13,151
Value,58770,"Houston County, Georgia",13,153
Value,32339,"Irwin County, Georgia",13,155
Value,62495,"Jackson County, Georgia",13,157
Value,43284,"Jasper County, Georgia",13,159
Value,36531,"Jeff Davis County, Georgia",13,161
Value,34300,"Jefferson County, Georgia",13,163
Value,27311,"Jenkins County, Georgia",13,165
Value,39813,"Johnson County, Georgia",13,167
Value,53155,"Jones County, Georgia",13,169
Value,41464,"Lamar County, Georgia",13,171
Value,39104,"Lanier County, Georgia",13,173
Value,37369,"Laurens County, Georgia",13,175
Value,65420,"Lee County, Georgia",13,177
Value,45959,"Liberty County, Georgia",13,179
Value,41014,"Lincoln County, Georgia",13,181
Value,55439,"Long County, Georgia",13,183
Value,41390,"Lowndes County, Georgia",13,185
Value,47488,"Lumpkin County, Georgia",13,187
Value,39199,"McDuffie County, Georgia",13,189
Value,47114,"McIntosh County, Georgia",13,191
Value,31999,"Macon County, Georgia",13,193
Value,51701,"Madison County, Georgia",13,195
Value,44309,"Marion County, Georgia",13,197
Value,36351,"Meriwether County, Georgia",13,199
Value,42927,"Miller County, Georgia",13,201
Value,37027,"Mitchell County, Georgia",13,205
Value,54050,"Monroe County, Georgia",13,207
Value,40728,"Montgomery County, Georgia",13,209
Value,62530,"Morgan County, Georgia",13,211
Value,45238,"Murray County, Georgia",13,213
Value,45389,"Muscogee County, Georgia",13,215
Value,53309,"Newton County, Georgia",13,217
Value,88308,"Oconee County, Georgia",13,219
Value,44927,"Oglethorpe County, Georgia",13,221
Value,66467,"Paulding County, Georgia",13,223
Value,42802,"Peach County, Georgia",13,225
Value,64512,"Pickens County, Georgia",13,227
Value,44167,"Pierce County, Georgia",13,229
Value,58765,"Pike County, Georgia",13,231
Value,43491,"Polk County, Georgia",13,233
Value,38770,"Pulaski County, Georgia",13,235
Value,51245,"Putnam County, Georgia",13,237
Value,30000,"Quitman County, Georgia",13,239
Value,40902,"Rabun County, Georgia",13,241
Value,30914,"Randolph County, Georgia",13,243
Value,40644,"Richmond County, Georgia",13,245
Value,57049,"Rockdale County, Georgia",13,247
Value,41276,"Schley County, Georgia",13,249
Value,37588,"Screven County, Georgia",13,251
Value,34338,"Seminole County, Georgia",13,253
Value,42671,"Spalding County, Georgia",13,255
Value,43416,"Stephens County, Georgia",13,257
Value,25385,"Stewart County, Georgia",13,259
Value,36205,"Sumter County, Georgia",13,261
Value,36213,"Talbot County, Georgia",13,263
Value,31797,"Taliaferro County, Georgia",13,265
Value,38034,"Tattnall County, Georgia",13,267
Value,33442,"Taylor County, Georgia",13,269
Value,30288,"Telfair County, Georgia",13,271
Value,38015,"Terrell County, Georgia",13,273
Value,40112,"Thomas County, Georgia",13,275
Value,42790,"Tift County, Georgia",13,277
Value,36575,"Toombs County, Georgia",13,279
Value,43927,"Towns County, Georgia",13,281
Value,37606,"Treutlen County, Georgia",13,283
Value,43850,"Troup County, Georgia",13,285
Value,38341,"Turner County, Georgia",13,287
Value,33037,"Twiggs County, Georgia",13,289
Value,44978,"Union County, Georgia",13,291
Value,36529,"Upson County, Georgia",13,293
Value,43650,"Walker County, Georgia",13,295
Value,58370,"Walton County, Georgia",13,297
Value,39887,"Ware County, Georgia",13,299
Value,34730,"Warren County, Georgia",13,301
Value,38092,"Washington County, Georgia",13,303
Value,44869,"Wayne County, Georgia",13,305
Value,35755,"Webster County, Georgia",13,307
Value,27626,"Wheeler County, Georgia",13,309
Value,46288,"White County, Georgia",13,311
Value,46970,"Whitfield County, Georgia",13,313
Value,36077,"Wilcox County, Georgia",13,315
Value,35106,"Wilkes County, Georgia",13,317
Value,37583,"Wilkinson County, Georgia",13,319
Value,46076,"Worth County, Georgia",13,321
Value,59297,"Hawaii County, Hawaii",15,001
Value,82906,"Honolulu County, Hawaii",15,003
Value,61875,"Kalawao County, Hawaii",15,005
Value,78482,"Kauai County, Hawaii",15,007
Value,77117,"Maui County, Hawaii",15,009
Value,63137,"Ada County, Idaho",16,001
Value,45319,"Adams County, Idaho",16,003
Value,49739,"Bannock County, Idaho",16,005
Value,54265,"Bear Lake County, Idaho",16,007
Value,46507,"Benewah County, Idaho",16,009
Value,51288,"Bingham County, Idaho",16,011
Value,51968,"Blaine County, Idaho",16,013
Value,53942,"Boise County, Idaho",16,015
Value,48710,"Bonner County, Idaho",16,017
Value,56609,"Bonneville County, Idaho",16,019
Value,43507,"Boundary County, Idaho",16,021
Value,42250,"Butte County, Idaho",16,023
Value,38393,"Camas County, Idaho",16,025
Value,49143,"Canyon County, Idaho",16,027
Value,59611,"Caribou County, Idaho",16,029
Value,50918,"Cassia County, Idaho",16,031
Value,35341,"Clark County, Idaho",16,033
Value,42348,"Clearwater County, Idaho",16,035
Value,39957,"Custer County, Idaho",16,037
Value,46715,"Elmore County, Idaho",16,039
Value,56613,"Franklin County, Idaho",16,041
Value,53311,"Fremont County, Idaho",16,043
Value,43001,"Gem County, Idaho",16,045
Value,48638,"Gooding County, Idaho",16,047
Value,39113,"Idaho County, Idaho",16,049
Value,60162,"Jefferson County, Idaho",16,051
Value,49306,"Jerome County, Idaho",16,053
Value,54457,"Kootenai County, Idaho",16,055
Value,45466,"Latah County, Idaho",16,057
Value,37921,"Lemhi County, Idaho",16,059
Value,41326,"Lewis County, Idaho",16,061
Value,48222,"Lincoln County, Idaho",16,063
Value,36031,"Madison County, Idaho",16,065
Value,50663,"Minidoka County, Idaho",16,067
Value,54174,"Nez Perce County, Idaho",16,069
Value,51058,"Oneida County, Idaho",16,071
Value,40430,"Owyhee County, Idaho",16,073
Value,50289,"Payette County, Idaho",16,075
Value,49985,"Power County, Idaho",16,077
Value,39091,"Shoshone County, Idaho",16,079
Value,68818,"Teton County, Idaho",16,081
Value,50778,"Twin Falls County, Idaho",16,083
Value,55299,"Valley County, Idaho",16,085
Value,37206,"Washington County, Idaho",16,087
Value,51398,"Adams County, Illinois",17,001
Value,34709,"Alexander County, Illinois",17,003
Value,58097,"Bond County, Illinois",17,005
Value,66898,"Boone County, Illinois",17,007
Value,58762,"Brown County, Illinois",17,009
Value,55940,"Bureau County, Illinois",17,011
Value,54392,"Calhoun County, Illinois",17,013
Value,51228,"Carroll County, Illinois",17,015
Value,51997,"Cass County, Illinois",17,017
Value,51692,"Champaign County, Illinois",17,019
Value,52415,"Christian County, Illinois",17,021
Value,54158,"Clark County, Illinois",17,023
Value,48691,"Clay County, Illinois",17,025
Value,65010,"Clinton County, Illinois",17,027
Value,44071,"Coles County, Illinois",17,029
Value,62088,"Cook County, Illinois",17,031
Value,49233,"Crawford County, Illinois",17,033
Value,53376,"Cumberland County, Illinois",17,035
Value,61086,"DeKalb County, Illinois",17,037
Value,55591,"De Witt County, Illinois",17,039
Value,54218,"Douglas County, Illinois",17,041
Value,88711,"DuPage County, Illinois",17,043
Value,51109,"Edgar County, Illinois",17,045
Value,49766,"Edwards County, Illinois",17,047
Value,56293,"Effingham County, Illinois",17,049
Value,44432,"Fayette County, Illinois",17,051
Value,51120,"Ford County, Illinois",17,053
Value,41414,"Franklin County, Illinois",17,055
Value,50180,"Fulton County, Illinois",17,057
Value,42500,"Gallatin County, Illinois",17,059
Value,46052,"Greene County, Illinois",17,061
Value,74140,"Grundy County, Illinois",17,063
Value,56862,"Hamilton County, Illinois",17,065
Value,51549,"Hancock County, Illinois",17,067
Value,43081,"Hardin County, Illinois",17,069
Value,52712,"Henderson County, Illinois",17,071
