Diversity-Index,BLK_Percent,Amrican_indian/Alk_native_Percent,Asian_percent,Hawaiian/Pacific_Islander_Percent,Two_or_more_percent,His/Latino_Percent,white_percent,County,Code,Year,State
0.5214479999999999,4.6,18.9,0.3,0.1,7.5,4.6,65.8,Seminole County,OK,2013,Oklahoma
0.521401,0.8,64.3,0.4,0.3,9.6,3.3,23.4,Lake and Peninsula Borough,AK,2013,Alaska
0.521338,44.2,0.4,0.5,0.0,0.8,1.3,53.2,Clarke County,AL,2013,Alabama
0.521253,0.6,3.1,0.5,0.0,2.0,44.2,53.1,Rio Grande County,CO,2013,Colorado
0.521163,18.0,0.5,1.7,0.0,1.1,14.9,65.1,Washington County,TX,2013,Texas
0.521031,8.9,1.3,1.0,0.1,1.3,24.7,64.0,Okeechobee County,FL,2013,Florida
0.521018,0.5,38.2,0.4,0.0,2.9,2.0,57.6,Lyman County,SD,2013,South Dakota
0.520993,41.7,0.3,0.7,0.0,1.0,1.6,55.2,Hardeman County,TN,2013,Tennessee
0.520745,45.9,0.1,0.2,0.0,0.7,1.4,51.8,West Feliciana Parish,LA,2013,Louisiana
0.520742,40.9,0.2,0.3,0.4,1.0,2.2,55.8,Pickens County,AL,2013,Alabama
0.520625,2.5,0.6,0.4,0.1,1.4,54.5,42.6,Concho County,TX,2013,Texas
0.520622,41.6,0.4,0.2,0.0,1.3,1.8,55.3,Twiggs County,GA,2013,Georgia
0.520524,36.1,0.4,0.5,0.1,2.2,2.3,59.0,Alexander County,IL,2013,Illinois
0.520496,39.1,0.5,0.6,0.0,1.1,2.0,57.1,Meriwether County,GA,2013,Georgia
0.520317,54.8,0.1,0.2,0.0,1.1,1.8,42.3,Tensas Parish,LA,2013,Louisiana
0.5202829999999999,0.2,58.3,0.4,0.0,3.2,2.0,37.2,Roosevelt County,MT,2013,Montana
0.5202640000000001,25.0,0.7,2.5,0.1,2.6,6.1,64.2,Berkeley County,SC,2013,South Carolina
0.520215,37.9,0.2,0.5,0.1,1.2,2.7,57.9,West Baton Rouge Parish,LA,2013,Louisiana
0.5199159999999999,11.1,1.2,4.2,0.2,2.9,20.3,65.1,Providence County,RI,2013,Rhode Island
0.519308,17.8,0.7,3.1,0.2,3.7,10.5,66.0,Stafford County,VA,2013,Virginia
0.519001,42.2,0.3,0.3,0.0,0.6,1.9,55.0,Attala County,MS,2013,Mississippi
0.5186609999999999,19.4,0.7,2.3,0.4,4.1,9.2,65.8,Montgomery County,TN,2013,Tennessee
0.518483,2.6,3.3,0.9,0.5,1.1,43.1,54.2,Colfax County,NE,2013,Nebraska
0.5184300000000001,14.0,0.5,4.0,0.1,2.2,16.4,65.8,New Haven County,CT,2013,Connecticut
0.5184300000000001,9.6,0.8,0.5,0.0,1.4,25.5,63.8,Austin County,TX,2013,Texas
0.518314,56.1,0.3,0.3,0.1,1.1,1.9,40.8,Brunswick County,VA,2013,Virginia
0.5181140000000001,9.4,0.8,0.7,0.1,1.6,24.6,64.2,Ellis County,TX,2013,Texas
0.518111,34.1,0.4,0.3,0.2,1.7,4.1,60.3,Lunenburg County,VA,2013,Virginia
0.518066,45.4,0.2,0.3,0.0,0.6,1.2,52.5,Montgomery County,MS,2013,Mississippi
0.517834,0.8,2.3,0.5,0.0,1.4,46.6,51.4,Grant County,KS,2013,Kansas
0.517655,28.6,0.4,2.9,0.1,2.1,3.3,63.1,Lynchburg city,VA,2013,Virginia
0.5175850000000001,0.6,3.5,0.7,0.2,2.2,53.9,43.6,Conejos County,CO,2013,Colorado
0.517362,7.7,9.0,2.0,0.2,5.8,9.6,67.5,OKLAHOMA,,2013,
0.517325,30.3,4.9,0.4,0.0,0.8,1.6,62.3,Newton County,MS,2013,Mississippi
0.5170710000000001,37.1,0.3,1.0,0.0,1.3,2.1,58.7,Ouachita Parish,LA,2013,Louisiana
0.5170680000000001,39.1,0.2,0.7,0.1,1.1,2.0,57.4,Chambers County,AL,2013,Alabama
0.517065,10.1,1.3,0.6,0.0,1.2,24.8,64.1,Milam County,TX,2013,Texas
0.51668,2.9,1.9,0.5,0.0,1.0,57.3,39.2,Winkler County,TX,2013,Texas
0.516501,36.2,0.3,1.0,0.0,1.1,2.4,59.3,Laurens County,GA,2013,Georgia
0.5164949999999999,26.9,0.9,0.6,0.1,1.7,7.9,63.6,Franklin County,NC,2013,North Carolina
0.516253,35.2,0.3,1.0,0.1,1.6,2.6,59.9,Mecklenburg County,VA,2013,Virginia
0.516013,63.3,0.4,2.6,0.1,2.0,4.6,28.3,Baltimore city,MD,2013,Maryland
0.5155,27.5,0.8,0.8,0.1,2.3,6.1,63.6,Westmoreland County,VA,2013,Virginia
0.514829,52.2,0.2,0.2,0.1,0.6,1.1,46.1,Jasper County,MS,2013,Mississippi
0.5147550000000001,42.2,0.2,0.4,0.0,0.9,1.2,55.4,Grenada County,MS,2013,Mississippi
0.514744,0.9,1.8,0.4,0.0,0.9,45.5,52.7,Hansford County,TX,2013,Texas
0.5147109999999999,57.8,0.4,0.4,0.0,1.0,2.3,38.8,Sussex County,VA,2013,Virginia
0.514677,0.3,1.6,0.2,0.0,3.4,40.3,56.7,De Baca County,NM,2013,New Mexico
0.514641,0.4,23.3,1.2,0.1,7.8,3.2,65.1,Delaware County,OK,2013,Oklahoma
0.514537,29.0,0.4,1.6,0.1,1.5,5.2,63.1,Charleston County,SC,2013,South Carolina
0.514501,36.3,0.5,0.7,0.0,1.2,2.6,59.4,Columbia County,AR,2013,Arkansas
0.514446,4.4,0.8,1.9,0.1,1.4,62.0,31.4,Nueces County,TX,2013,Texas
0.514351,2.0,1.0,0.7,0.2,1.4,57.0,40.0,Kinney County,TX,2013,Texas
0.5143260000000001,32.0,0.9,1.4,0.0,1.7,2.8,61.8,Rapides Parish,LA,2013,Louisiana
0.514288,8.5,4.1,1.4,0.6,3.5,18.2,66.5,Lassen County,CA,2013,California
0.5142329999999999,31.5,0.8,0.5,0.0,1.7,4.2,62.0,Jones County,NC,2013,North Carolina
0.514087,0.3,35.8,0.3,0.0,3.1,1.9,59.7,Roberts County,SD,2013,South Dakota
0.513794,32.4,0.7,0.5,0.0,1.6,3.8,61.6,Chesterfield County,SC,2013,South Carolina
0.513695,37.1,0.5,0.5,0.0,1.5,1.7,59.0,Chester County,SC,2013,South Carolina
0.513649,30.4,0.3,1.4,0.1,2.2,3.7,62.6,St. Clair County,IL,2013,Illinois
0.51354,57.3,0.5,0.2,0.0,1.3,1.8,39.7,Talbot County,GA,2013,Georgia
0.512942,2.2,2.8,4.0,0.2,2.4,62.3,30.9,Tulare County,CA,2013,California
0.512896,21.4,0.4,4.3,0.1,2.0,6.9,65.9,Fayette County,GA,2013,Georgia
0.512829,60.5,3.6,0.2,0.0,0.9,0.7,34.6,Kemper County,MS,2013,Mississippi
0.512687,32.6,0.5,0.8,0.0,1.4,3.6,61.6,Union County,AR,2013,Arkansas
0.512658,19.3,0.4,6.7,0.1,3.1,4.9,66.5,Charlottesville city,VA,2013,Virginia
0.5126149999999999,0.9,1.5,0.5,0.0,1.0,42.3,55.5,Sherman County,TX,2013,Texas
0.512612,2.7,2.2,1.5,0.2,2.0,61.1,33.5,Yuma County,AZ,2013,Arizona
0.512567,3.6,1.3,0.6,0.1,1.1,60.1,35.3,Crane County,TX,2013,Texas
0.51243,1.8,0.9,0.5,0.0,1.4,38.8,58.0,Wilson County,TX,2013,Texas
